Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2019 JIF
Natural Language Engineering,Natural Language Engineering,1351-3249,1469-8110,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",556,1.465
JOURNAL OF AUTOMATED REASONING,JOURNAL OF AUTOMATED REASONING,0168-7433,1573-0670,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",625,1.431
ACM Transactions on Asian and Low-Resource Language Information Processing,ACM Transactions on Asian and Low-Resource Language Information Processing,2375-4699,2375-4702,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",129,1.42
Statistical Analysis and Data Mining,Statistical Analysis and Data Mining,1932-1864,1932-1872,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",478,1.396
INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,0218-0014,1793-6381,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,785",1.375
INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,0218-4885,1793-6411,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,774",1.375
JOURNAL OF MATHEMATICAL IMAGING AND VISION,JOURNAL OF MATHEMATICAL IMAGING AND VISION,0924-9907,1573-7683,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,085",1.353
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,1387-2532,1573-7454,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",849,1.342
INTELLIGENT AUTOMATION AND SOFT COMPUTING,INTELLIGENT AUTOMATION AND SOFT COMPUTING,1079-8587,2326-005X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",651,1.276
KNOWLEDGE ENGINEERING REVIEW,KNOWLEDGE ENGINEERING REVIEW,0269-8889,1469-8005,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",851,1.257
