Revista,JCR 2004,JCR 2005,JCR 2006,JCR 2007,JCR 2008,JCR 2009,JCR 2010,JCR 2011,JCR 2012,JCR 2013,JCR 2014,JCR 2015,JCR 2016,JCR 2017,JCR 2018,JCR 2019,JCR 2020,JCR 2021,JCR 2022
Engineering Applications of Artificial Intelligence,29.802,31.65,27.123,27.238,32.598,34.717,35.587,35.919,34.577,34.675,32.298,30.412,26.62,24.622,23.498,24.116,22.418,16.534,8.729
Journal of Experimental &amp; Theoretical Artificial Intelligence,21.249,7.824,9.271,9.5,9.708,12.842,10.406,6.1,7.706,7.789,13.587,16.969,8.602,10.614,13.991,10.207,6.0,6.001,4.085
Connection Science,21.711,21.122,14.507,18.442,15.193,12.894,11.593,7.714,6.063,9.083,13.458,11.818,9.673,6.247,6.846,7.125,6.11,8.842,7.831
Network: Computation in Neural Systems,30.513,28.657,24.972,29.186,30.616,19.964,11.158,6.761,8.088,8.741,6.585,4.932,6.556,6.353,5.062,5.0,2.0,0.9,4.25
Journal of Intelligent Manufacturing,29.981,24.926,24.972,32.086,33.557,32.486,28.493,21.234,19.376,22.995,23.096,24.166,22.802,22.705,23.337,21.752,18.538,20.659,15.518
Expert Systems with Applications,39.871,33.971,45.61,49.476,53.404,48.667,46.152,43.421,37.327,35.673,35.269,38.43,40.887,38.149,35.003,32.399,26.345,18.826,8.82
Annals of Mathematics and Artificial Intelligence,14.219,13.294,13.489,9.938,12.426,12.467,10.622,8.929,10.573,8.853,7.389,8.443,7.784,7.703,6.524,4.525,3.331,2.524,1.505
IEEE Transactions on Knowledge and Data Engineering,56.468,62.762,76.234,67.215,46.405,41.414,43.126,66.183,57.568,32.259,35.473,47.507,41.366,33.918,35.482,30.966,18.533,8.787,1.803
IEEE Transactions on Image Processing,102.132,154.624,126.558,66.169,70.077,65.971,46.027,56.969,66.13,59.319,50.28,39.784,36.911,35.864,34.298,33.52,28.271,19.031,7.991
Evolutionary Computation,111.669,43.835,32.104,34.903,35.0,45.705,41.512,35.995,68.146,72.615,39.947,37.272,30.891,23.293,26.191,22.8,13.765,10.916,8.451
IEEE Transactions on Fuzzy Systems,102.117,66.427,54.755,61.046,63.789,51.506,51.965,60.501,54.625,60.051,59.789,60.746,51.561,38.247,33.262,35.59,28.276,13.742,7.559
Journal of Intelligent &amp; Fuzzy Systems,0.439,0.174,0.283,0.221,0.649,0.74,6.781,7.462,8.379,8.024,8.14,11.238,10.559,8.136,7.804,6.857,,3.698,1.395
Journal of Computer and Systems Sciences International,0.054,0.105,0.051,3.875,4.171,3.832,3.398,3.899,5.035,6.08,4.723,4.296,4.924,3.672,2.932,3.57,3.062,2.015,0.893
Artificial Life,33.622,30.426,28.422,20.369,12.115,10.006,18.339,25.043,18.632,15.297,9.414,10.418,7.737,6.333,8.946,7.878,3.608,4.19,3.693
Integrated Computer-Aided Engineering,14.886,12.797,8.009,9.34,14.832,11.644,5.142,12.713,12.699,5.316,8.065,11.278,15.99,15.808,14.429,16.407,9.116,6.548,3.66
Journal of Artificial Intelligence Research,2.045,2.247,1.795,1.107,1.611,1.981,1.691,1.143,1.056,0.904,1.257,1.659,2.284,1.257,1.82,49.777,46.262,5.278,3.467
Computer Vision and Image Understanding,58.611,54.786,40.446,53.794,64.336,97.686,73.763,28.484,24.128,18.097,22.672,24.981,21.429,17.821,19.082,19.729,15.773,9.49,3.208
Intelligent Automation &amp; Soft Computing,4.057,7.34,7.476,3.259,3.488,3.389,3.132,3.326,,2.9,4.122,4.389,3.939,4.397,4.466,3.16,1.301,0.428,0.24
IEEE Transactions on Evolutionary Computation,477.678,162.235,98.016,92.66,108.872,89.432,90.01,77.493,66.618,65.555,48.067,52.819,50.955,50.81,42.169,35.059,35.533,18.642,2.351
Computing and Informatics,0.456,0.091,0.136,0.349,0.492,0.456,0.356,0.239,0.254,0.319,0.504,0.524,0.488,0.41,2.529,2.645,3.863,0.455,0.455
Medical Image Analysis,65.922,49.663,49.638,53.213,52.609,77.89,80.436,60.263,57.74,52.155,47.769,40.844,38.49,36.914,74.277,70.045,41.525,30.947,9.178
Neural Processing Letters,25.221,25.258,12.931,12.475,15.915,20.568,17.25,14.047,12.576,16.724,19.2,15.816,15.004,13.051,10.907,9.705,7.868,6.374,3.99
Journal of Heuristics,49.905,45.549,39.26,23.965,27.061,25.792,43.25,42.223,30.808,29.028,20.838,21.171,17.123,12.903,11.49,9.288,7.427,5.841,3.684
Data Mining and Knowledge Discovery,125.729,120.139,101.194,66.24,88.14,70.443,40.024,45.314,54.705,58.577,41.154,34.688,38.299,35.125,27.602,19.559,19.033,18.42,4.807
Autonomous Agents and Multi-Agent Systems,26.249,54.232,74.904,53.096,38.667,36.15,37.252,27.459,22.069,17.877,19.163,18.619,12.537,12.199,10.765,6.875,9.782,5.7,1.626
Soft Computing,8.134,9.353,25.911,21.927,17.989,18.42,26.198,28.008,21.72,17.673,16.962,16.459,14.851,16.391,14.492,13.296,11.193,8.512,5.362
Pattern Analysis and Applications,30.149,27.273,19.71,29.643,27.65,16.812,19.575,24.996,20.443,11.303,11.213,11.011,11.533,10.108,8.069,9.177,7.847,5.915,6.757
Advanced Engineering Informatics,5.952,4.027,2.255,2.682,3.116,2.789,2.974,2.561,3.42,2.853,2.473,2.45,5.0,2.281,4.091,3.484,3.654,5.177,5.177
