DOI,Título,Autores,Año,Citas,Revista
10.1109/tnnls.2017.2673865,Adaptive Boundary Iterative Learning Control for an Euler–Bernoulli Beam System With Input Constraint,Wei He and Tingting Meng and Deqing Huang and Xuefang Li,2018,157,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2011.2181865,View-Invariant Action Recognition Based on Artificial Neural Networks,A. Iosifidis and A. Tefas and I. Pitas,2012,109,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2011.2179810,Adaptive Learning in Complex Reproducing Kernel Hilbert Spaces Employing Wirtinger's Subgradients,P. Bouboulis and K. Slavakis and S. Theodoridis,2012,45,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2020.3009293,Frequency-Dependent Energy Demand of Dendritic Responses to Deep Brain Stimulation in Thalamic Neurons: A Model-Based Study,Guosheng Yi and Jiang Wang,2021,4,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2015.2481006,-Minimization Algorithms for Sparse Signal Reconstruction Based on a Projection Neural Network,Qingshan Liu and Jun Wang,2016,72,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2020.3016180,Effective Visual Domain Adaptation via Generative Adversarial Distribution Matching,Qi Kang and SiYa Yao and MengChu Zhou and Kai Zhang and Abdullah Abusorrah,2021,22,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2016.2619914,Neuroadaptive Fault-Tolerant Control of Nonlinear Systems Under Output Constraints and Actuation Faults,Kai Zhao and Yongduan Song and Zhixi Shen,2018,83,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2022.3165573,DR-GAN: Distribution Regularization for Text-to-Image Generation,Hongchen Tan and Xiuping Liu and Baocai Yin and Xin Li,2022,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2012.2200798,IEEE Xplore Digital Library [advertisement],,2012,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2012.2188699,IEEE Transactions on Neural Networks information for authors,,2012,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2015.2452779,IEEE World Congress on Computational Intelligence,,2015,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2019.2928379,Deep Model Compression and Inference Speedup of Sum-Product Networks on Tensor Trains,Ching-Yun Ko and Cong Chen and Zhuolun He and Yuke Zhang and Kim Batselier and Ngai Wong,2019,1,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2019.2899613,Insights Into Multiple/Single Lower Bound Approximation for Extended Variational Inference in Non-Gaussian Structured Data Modeling,Zhanyu Ma and Jiyang Xie and Yuping Lai and Jalil Taghia and Jing-Hao Xue and Jun Guo,2019,25,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2019.2935455,Efficient Implementation of Second-Order Stochastic Approximation Algorithms in High-Dimensional Problems,Jingyi Zhu and Long Wang and James C. Spall,2020,3,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2020.2973780,IEEE Computational Intelligence Society Information,,2020,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2013.2285589,Table of contents,,2013,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2015.2428033,IEEE Transactions on Neural Networks information for authors,,2015,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2018.2869652,IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS publication information,,2018,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2013.2247513,IEEE Computational Intelligence Society Information,,2013,0,IEEE Transactions on Neural Networks and Learning Systems
